Street Address,City,ZIP,Groups With Access Code,Access Days Time,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,Latitude,Longitude,ID,EV Connector Types,Facility Type
39900 Balentine Dr,Newark,94560,Public,24 hours daily; for customer use only; see front desk for access,,4,,,37.521425,-121.999528,113169,TESLA,HOTEL
1107 Jamboree Rd,Newport Beach,92660,Public,24 hours daily,,2,,,33.617446,-117.889091,113171,TESLA,HOTEL
1221 W Coast Hwy,Newport Beach,92663,Public,24 hours daily; for customer use only; see valet for access,,1,,,33.615756,-117.914758,113172,TESLA,HOTEL
22701 S Pelican Hill Rd,Newport Beach,92657,Public,24 hours daily; for customer use only; see valet for access,,2,,,33.586837,-117.843042,113173,TESLA,HOTEL
3300 Newport Blvd,Newport Beach,92663,Public,24 hours daily; for customer use only; see valet for access,,4,,,33.616935,-117.929938,113174,J1772 TESLA,HOTEL
690 Newport Center Dr,Newport Beach,92660,Public,24 hours daily; for customer use only; see valet for access,,1,,,33.619996,-117.874992,113175,TESLA,HOTEL
40530 Hwy 41,Oakhurst,93644,Public,24 hours daily; for customer use only; see front desk for access,,2,,,37.335923,-119.646151,113176,TESLA,HOTEL
42071 Hwy 41,Oakhurst,93644,Public,24 hours daily; for customer use only; see front desk for access,,3,,,37.36109,-119.64434,113177,J1772 TESLA,INN
48688 Victoria Lane,Oakhurst,93644,Public,24 hours daily; for customer use only; see front desk for access,,2,,,37.327452,-119.660409,113178,TESLA,HOTEL
66 Airport Access Rd,Oakland,94603,Public,24 hours daily; for customer use only; see front desk for access,,3,,,37.726036,-122.198798,113179,J1772 TESLA,HOTEL
8433 Earhart Rd,Oakland,94621,Public,24 hours daily; for customer use only; see front desk for access,,3,,,37.729336,-122.208969,113180,J1772 TESLA,AIRPORT
7600  St Helena Hwy,Oakville,94562,Public - Call ahead,24 hours daily; for customer use only,,2,,,38.430238,-122.389725,113181,J1772 TESLA,BREWERY_DISTILLERY_WINERY
7856 St Helena Hwy,Oakville,94562,Public,24 hours daily,,2,,,38.437473,-122.402787,113182,J1772 TESLA,GROCERY
8210 St Helena Hwy,Oakville,94562,Public,24 hours daily; for customer use only; see front desk for access,,1,,,38.44447976772613,-122.4084603584747,113183,TESLA,BREWERY_DISTILLERY_WINERY
915 Oakville Crossroad,Oakville,94562,Public,24 hours daily,,3,,,38.440913,-122.381323,113184,J1772 TESLA,BREWERY_DISTILLERY_WINERY
3657 Church St,Occidental,95465,Public - Call ahead,24 hours daily; for customer use only,,2,,,38.407219,-122.94643,113185,J1772 TESLA,INN
905 Country Club Rd,Ojai,93023,Public,24 hours daily; for customer use only,,6,,,34.437995,-119.255545,113186,TESLA,INN
400 Squaw Valley Rd,Olympic Valley,96146,Public,24 hours daily; for customer use only; see valet for access,,7,,,39.206535,-120.209181,113187,J1772 TESLA,HOTEL
4370 Mills Cir,Ontario,91764,Public,24 hours daily; for customer use only; see front desk for access,,4,,,34.070995,-117.556229,113188,J1772 TESLA,HOTEL
4395 E Ontario Mills Pkwy,Ontario,91764,Public,24 hours daily; for customer use only; see front desk for access,,4,,,34.070391,-117.555433,113189,J1772 TESLA,INN
190 S. Glassell St,Orange,92866,Public,24 hours daily; for customer use only,,3,,,33.786338,-117.853351,113190,J1772 TESLA,RESTAURANT
200 The City Dr N,Orange,92868,Public,24 hours daily; for customer use only; see front desk for access,,4,,,33.789983,-117.891085,113191,J1772 TESLA,HOTEL
3735 W Chapman Ave,Orange,92868,Public,24 hours daily; for customer use only; see front desk for access,,4,,,33.789241,-117.89178,113192,J1772 TESLA,HOTEL
3 Alverda Dr,Oroville,95966,Public,24 hours daily; for customer use only,,3,,,39.466293,-121.516144,113194,TESLA,OTHER_ENTERTAINMENT
660 Dennett St,Pacific Grove,93950,Public,24 hours daily; for customer use only,,3,,,36.620006,-121.933299,113196,J1772 TESLA,HOTEL
1 Willow Ridge,Palm Desert,92260,Public,24 hours daily; for customer use only; see front desk for access,,2,,,33.760346,-116.361758,113197,J1772 TESLA,HOTEL
45-400 Larkspur Ln,Palm Desert,92260,Public,24 hours daily; for customer use only; see front desk for access,,6,,,33.718817,-116.380106,113198,J1772 TESLA,HOTEL
74855 Country Club Dr,Palm Desert,92260,Public,24 hours daily; for customer use only; see valet for access,,6,,,33.757747,-116.360026,113199,J1772 TESLA,HOTEL
76661 California 111,Palm Desert,92210,Public,24 hours daily; for customer use only; see valet for access,,3,,,33.720751,-116.327495,113200,TESLA,HOTEL
1330 E Palm Canyon Dr,Palm Springs,92264,Public,24 hours daily; for customer use only; see front desk for access,,2,,,33.801611,-116.532389,113201,J1772 TESLA,HOTEL
1600 N Indian Canyon Dr,Palm Springs,92262,Public,24 hours daily; for customer use only; see valet for access,,3,,,33.84606,-116.543982,113203,TESLA,HOTEL
200 W Areans Rd,Palm Springs,92262,Public,24 hours daily; for customer use only; see front desk for access,,2,,,33.821449,-116.548343,113205,TESLA,HOTEL
200 W Ramon Rd,Palm Springs,92264,Public,24 hours daily; for customer use only; see front desk for access,,2,,,33.815869,-116.547985,113206,TESLA,INN
2388 E Racquet Club Rd,Palm Springs,92262,Public,24 hours daily; for customer use only; see front desk for access,,4,,,33.852212,-116.521087,113208,J1772 TESLA,HOTEL
412 W Tahquitz Canyon Way,Palm Springs,92262,Public,24 hours daily; for customer use only; see front desk for access,,2,,,33.823047,-116.550613,113210,J1772 TESLA,INN
4200 E Palm Canyon Dr,Palm Springs,92264,Public,24 hours daily; for customer use only; see valet for access,,10,,,33.795307,-116.500152,113211,TESLA,HOTEL
572 N Indian Canyon Dr,Palm Springs,92262,Public,24 hours daily; for customer use only; see front desk for access,,3,,,33.831334,-116.54503,113212,J1772 TESLA,HOTEL
622 N Palm Canyon Dr,Palm Springs,92262,Public,24 hours daily; for customer use only; see front desk for access,,2,,,33.832316,-116.54607,113213,J1772 TESLA,HOTEL
701 E Palm Canyon Dr,Palm Springs,92264,Public,24 hours daily; for customer use only; see valet for access,,2,,,33.800669,-116.540258,113216,TESLA,HOTEL
39325 Trade Center Dr,Palmdale,93551,Public,24 hours daily; for customer use only; see front desk for access,,2,,,34.597523,-118.143381,113217,TESLA,HOTEL
40242 La Quinta Ln  Suite 101,Palmdale,93551,Public,24 hours daily; for customer use only,,2,,,34.614332,-118.139718,113218,TESLA,BREWERY_DISTILLERY_WINERY
180 Hamilton Ave,Palo Alto,94301,Public,24 hours daily; for customer use only; see valet for access,,1,,,37.443595,-122.161542,113219,TESLA,HOTEL
3400 El Camino Real,Palo Alto,94306,Public - Call ahead,24 hours daily; for customer use only,,2,,,37.41839,-122.13541,113220,TESLA,INN
4216 El Camino Real,Palo Alto,94306,Public,24 hours daily; for customer use only; see front desk for access,,3,,,37.409477,-122.123237,113221,TESLA,HOTEL
4261 El Camino Real,Palo Alto,94306,Public,24 hours daily; for customer use only,,2,,,37.408262,-122.11972,113222,TESLA,HOTEL
4329 El Camino Real,Palo Alto,94306,Public,24 hours daily; for customer use only; see front desk for access,,6,,,37.40575,-122.118315,113223,J1772 TESLA,HOTEL
10920 Chimney Rock Rd,Paso Robles,93446,Public - Call ahead,24 hours daily; for customer use only,,2,,,35.665285,-120.886925,113224,TESLA,BREWERY_DISTILLERY_WINERY
1103 Spring St,Paso Robles,93446,Public,24 hours daily; for customer use only,,2,,,35.625599,-120.692184,113225,J1772 TESLA,INN
1135 24th St,Paso Robles,93446,Public,24 hours daily; for customer use only; see front desk for access,,1,,,35.641205,-120.687141,113226,TESLA,HOTEL
11680 Chimney Rock Rd,Paso Robles,93446,Public - Call ahead,24 hours daily; for customer use only,,2,,,35.658138,-120.904655,113227,TESLA,HOTEL
1215 Ysabel Ave,Paso Robles,93446,Public,24 hours daily; for customer use only; see front desk for access,,1,,,35.640982,-120.687792,113228,TESLA,INN
1227 Paso Robles St,Paso Robles,93446,Public,24 hours daily,,2,,,35.627379,-120.685883,113229,TESLA,BREWERY_DISTILLERY_WINERY
1380 Live Oak Rd,Paso Robles,93446,Public,24 hours daily,,2,,,35.590248,-120.716324,113230,TESLA,BREWERY_DISTILLERY_WINERY
2175 Arbor Rd,Paso Robles,93446,Public,24 hours daily,,2,,,35.584362,-120.716042,113231,TESLA,INN
2400 CA 46 W,Paso Robles,93446,Public,24 hours daily,,2,,,35.574136,-120.741735,113232,TESLA,BREWERY_DISTILLERY_WINERY
2640  Anderson Rd,Paso Robles,93446,Public,24 hours daily; for customer use only,,2,,,35.584431,-120.737259,113233,TESLA,BREWERY_DISTILLERY_WINERY
2700 Buena Vista Dr,Paso Robles,93446,Public,24 hours daily; see valet for access,,4,,,35.647373,-120.669878,113234,J1772 TESLA,HOTEL
2825 Adelaida Rd,Paso Robles,93446,Public,24 hours daily; for customer use only,,2,,,35.650075,-120.74563,113235,TESLA,BREWERY_DISTILLERY_WINERY
3000 Riverside Ave,Paso Robles,93446,Public,24 hours daily; for customer use only; see front desk for access,,6,,,35.644878,-120.688419,113236,TESLA,HOTEL
3005 Limestone Wy,Paso Robles,93446,Public,24 hours daily; for customer use only; see front desk for access,,2,,,35.576583,-120.69023,113237,TESLA,BREWERY_DISTILLERY_WINERY
3050 Limestone Way,Paso Robles,93446,Public,24 hours daily; see front desk for access,,1,,,35.576126,-120.690223,113238,TESLA,BREWERY_DISTILLERY_WINERY
3443 Mill Rd,Paso Robles,93446,Public,24 hours daily,,2,,,35.643714,-120.634103,113239,TESLA,BREWERY_DISTILLERY_WINERY
4230 Buena Vista Dr,Paso Robles,93446,Public,24 hours daily; for customer use only,,2,,,35.663491,-120.6673,113240,TESLA,BREWERY_DISTILLERY_WINERY
470 Marquita Ave,Paso Robles,93446,Public,24 hours daily; for customer use only,,2,,,35.575016,-120.68958,113241,TESLA,BREWERY_DISTILLERY_WINERY
4900 Union Rd,Paso Robles,93446,Public,24 hours daily; for customer use only; see front desk for access,,1,,,35.634438,-120.607234,113242,TESLA,BREWERY_DISTILLERY_WINERY
5076 Mustard Creek Rd,Paso Robles,93446,Public - Call ahead,24 hours daily; for customer use only,,3,,,35.675597,-120.727778,113243,J1772 TESLA,BREWERY_DISTILLERY_WINERY
525 Riverside Ave,Paso Robles,93446,Public - Call ahead,24 hours daily; for customer use only,,2,,,35.620257,-120.686754,113244,TESLA,BREWERY_DISTILLERY_WINERY
5325 Vineyard Dr,Paso Robles,93446,Public,24 hours daily; for customer use only; see front desk for access,,2,,,35.570633,-120.791145,113245,TESLA,B_AND_B
5414 Vineyard Dr,Paso Robles,93446,Public - Call ahead,24 hours daily; for customer use only,,4,,,35.577629,-120.791992,113246,TESLA,BREWERY_DISTILLERY_WINERY
